year,state,county,county_code,state_code,AQI,pollutant,arithmetic_mean,AQI_rank
1971,California,Alameda,1,6,78,CO,2.7133125000000002,2
1971,California,Alameda,1,6,78,NO2,69.10849999999999,2
1971,California,Alameda,1,6,78,SO2,3.2833375,2
1971,California,Butte,7,6,43,CO,1.77215,1
1971,California,Butte,7,6,43,NO2,40.508025,1
1971,California,Contra Costa,13,6,43,CO,2.2517625,1
1971,California,Contra Costa,13,6,43,NO2,39.3222375,1
1971,California,Contra Costa,13,6,43,SO2,6.5348500000000005,1
1971,California,Fresno,19,6,3,SO2,1.52625,1
1971,California,Kern,29,6,76,CO,2.5305,2
1971,California,Kern,29,6,76,NO2,67.87356666666668,2
1971,California,Los Angeles,37,6,122,CO,5.064275,3
1971,California,Los Angeles,37,6,122,NO2,139.9458625,3
1971,California,Los Angeles,37,6,122,SO2,12.762928846153846,3
1971,California,Marin,41,6,41,CO,2.82145,1
1971,California,Marin,41,6,41,NO2,39.74235,1
1971,California,Monterey,53,6,51,NO2,42.90595,2
1971,California,Napa,55,6,35,CO,2.263175,1
1971,California,Orange,59,6,106,CO,4.161633333333333,3
1971,California,Orange,59,6,106,NO2,84.919575,3
1971,California,Orange,59,6,106,SO2,5.324015,3
1971,California,Riverside,65,6,103,CO,6.812175,3
1971,California,Riverside,65,6,103,NO2,70.34574285714285,3
1971,California,Riverside,65,6,103,SO2,3.6725999999999996,3
1971,California,Sacramento,67,6,57,CO,2.41325,2
1971,California,Sacramento,67,6,57,NO2,45.27885,2
1971,California,Sacramento,67,6,57,SO2,1.86,2
1971,California,San Bernardino,71,6,104,CO,4.995525,3
1971,California,San Bernardino,71,6,104,NO2,86.352475,3
1971,California,San Bernardino,71,6,104,SO2,5.167285714285715,3
1971,California,San Diego,73,6,103,NO2,84.041875,3
1971,California,San Diego,73,6,103,SO2,2.6729,3
1971,California,San Francisco,75,6,5,SO2,2.6774999999999998,1
1971,California,San Joaquin,77,6,47,CO,1.5563500000000001,1
1971,California,San Joaquin,77,6,47,NO2,39.648525,1
1971,California,San Mateo,81,6,65,CO,2.9433,2
1971,California,San Mateo,81,6,65,NO2,50.787075,2
1971,California,Santa Clara,85,6,6,SO2,1.641075,1
1971,California,Santa Cruz,87,6,31,NO2,26.541825,1
1971,California,Sonoma,97,6,32,CO,1.71735,1
1971,California,Sonoma,97,6,32,NO2,32.13995,1
1971,California,Tulare,107,6,63,CO,3.2935250000000003,2
1971,California,Tulare,107,6,63,NO2,49.03915,2
1971,California,Ventura,111,6,61,CO,4.398933333333334,2
1971,California,Ventura,111,6,61,NO2,55.05115,2
1972,California,Alameda,1,6,71,CO,2.371941666666667,2
1972,California,Alameda,1,6,71,NO2,58.7351,2
1972,California,Alameda,1,6,71,SO2,2.0848875000000002,2
1972,California,Butte,7,6,45,CO,1.594125,1
1972,California,Butte,7,6,45,NO2,41.303799999999995,1
1972,California,Contra Costa,13,6,42,CO,2.19242,1
1972,California,Contra Costa,13,6,42,NO2,31.60012,1
1972,California,Contra Costa,13,6,42,SO2,6.19496,1
1972,California,Fresno,19,6,55,CO,1.4789166666666667,2
1972,California,Fresno,19,6,55,NO2,50.0195,2
1972,California,Fresno,19,6,55,SO2,1.55335,2
1972,California,Humboldt,23,6,37,NO2,28.9725,1
1972,California,Humboldt,23,6,37,SO2,0.4667,1
1972,California,Kern,29,6,80,CO,2.346625,2
1972,California,Kern,29,6,80,NO2,68.34075,2
1972,California,Los Angeles,37,6,116,CO,4.169505555555555,3
1972,California,Los Angeles,37,6,116,NO2,111.11214857142858,3
1972,California,Los Angeles,37,6,116,SO2,12.870657627118645,3
1972,California,Marin,41,6,50,CO,3.0809,1
1972,California,Marin,41,6,50,NO2,41.109725,1
1972,California,Monterey,53,6,50,CO,1.460825,1
1972,California,Monterey,53,6,50,NO2,35.7625125,1
1972,California,Napa,55,6,23,CO,1.4788666666666668,1
1972,California,Orange,59,6,109,CO,4.586392307692307,3
1972,California,Orange,59,6,109,NO2,93.73591538461538,3
1972,California,Orange,59,6,109,SO2,7.286411111111111,3
1972,California,Riverside,65,6,78,CO,4.2722,2
1972,California,Riverside,65,6,78,NO2,40.311454545454545,2
1972,California,Riverside,65,6,78,SO2,4.856983333333333,2
1972,California,Sacramento,67,6,60,CO,1.54695,2
1972,California,Sacramento,67,6,60,NO2,51.509766666666664,2
1972,California,Sacramento,67,6,60,SO2,1.6912500000000001,2
1972,California,San Bernardino,71,6,101,CO,5.261541666666667,3
1972,California,San Bernardino,71,6,101,NO2,78.97171666666667,3
1972,California,San Bernardino,71,6,101,SO2,4.7711,3
1972,California,San Diego,73,6,105,CO,2.0927,3
1972,California,San Diego,73,6,105,NO2,68.7754625,3
1972,California,San Diego,73,6,105,SO2,3.1513454545454547,3
1972,California,San Francisco,75,6,59,CO,2.9282,2
1972,California,San Francisco,75,6,59,NO2,54.910250000000005,2
1972,California,San Francisco,75,6,59,SO2,2.74805,2
1972,California,San Joaquin,77,6,43,CO,1.9641,1
1972,California,San Joaquin,77,6,43,NO2,38.877825,1
1972,California,San Luis Obispo,79,6,46,CO,1.6527500000000002,1
1972,California,San Luis Obispo,79,6,46,NO2,39.562075,1
1972,California,San Mateo,81,6,57,CO,2.99192,2
1972,California,San Mateo,81,6,57,NO2,53.02095,2
1972,California,Santa Barbara,83,6,64,CO,1.8804125,2
1972,California,Santa Barbara,83,6,64,NO2,53.8777125,2
1972,California,Santa Clara,85,6,66,CO,3.161433333333333,2
1972,California,Santa Clara,85,6,66,NO2,62.938575,2
1972,California,Santa Clara,85,6,66,SO2,2.14545,2
1972,California,Santa Cruz,87,6,46,NO2,35.924,1
1972,California,Shasta,89,6,46,CO,2.4519,1
1972,California,Shasta,89,6,46,NO2,39.65615,1
1972,California,Solano,95,6,32,CO,1.60975,1
