year,state,county,county_code,state_code,units_of_measure,AQI,pollutant,arithmetic_mean,Air Quality Index
1979,California,Alameda,1,6,Parts per million,51,CO,1.547938,Moderate
1979,California,Alameda,1,6,Parts per billion,51,NO2,48.882521,Moderate
1979,California,Alameda,1,6,Parts per million,65,Ozone,0.0329578,Moderate
1979,California,Butte,7,6,Parts per million,51,CO,0.6717960000000001,Moderate
1979,California,Butte,7,6,Parts per billion,51,NO2,39.058172,Moderate
1979,California,Butte,7,6,Parts per million,70,Ozone,0.04677399999999999,Moderate
1979,California,Contra Costa,13,6,Parts per million,51,CO,2.003473,Moderate
1979,California,Contra Costa,13,6,Parts per billion,51,NO2,43.72274766666667,Moderate
1979,California,Contra Costa,13,6,Parts per million,68,Ozone,0.040517,Moderate
1979,California,Contra Costa,13,6,Parts per billion,51,SO2,1.32225775,Moderate
1979,California,El Dorado,17,6,Parts per million,51,CO,1.034621,Moderate
1979,California,El Dorado,17,6,Parts per billion,51,NO2,46.634921,Moderate
1979,California,El Dorado,17,6,Parts per million,68,Ozone,0.041254,Moderate
1979,California,El Dorado,17,6,Parts per billion,51,SO2,2.656151,Moderate
1979,California,Fresno,19,6,Parts per million,51,CO,0.9905508,Moderate
1979,California,Fresno,19,6,Parts per billion,54,NO2,55.9845145,Moderate
1979,California,Fresno,19,6,Parts per million,78,Ozone,0.0666795,Moderate
1979,California,Fresno,19,6,Parts per billion,51,SO2,3.253482,Moderate
1979,California,Glenn,21,6,Parts per million,67,Ozone,0.039266,Moderate
1979,California,Kern,29,6,Parts per million,51,CO,1.27309,Moderate
1979,California,Kern,29,6,Parts per billion,81,NO2,81.914286,Moderate
1979,California,Kern,29,6,Parts per million,80,Ozone,0.0733465,Moderate
1979,California,Kern,29,6,Parts per billion,51,SO2,9.175439,Moderate
1979,California,Los Angeles,37,6,Parts per million,51,CO,3.0466067333333333,Moderate
1979,California,Los Angeles,37,6,Parts per billion,103,NO2,107.6009730909091,Unhealthy for Sensitive Groups
1979,California,Los Angeles,37,6,Parts per million,90,Ozone,0.0984110625,Moderate
1979,California,Los Angeles,37,6,Parts per billion,51,SO2,8.9348065,Moderate
1979,California,Madera,39,6,Parts per million,79,Ozone,0.06929,Moderate
1979,California,Marin,41,6,Parts per million,51,CO,1.856578,Moderate
1979,California,Marin,41,6,Parts per billion,51,NO2,42.727273,Moderate
1979,California,Marin,41,6,Parts per million,66,Ozone,0.036144,Moderate
1979,California,Mendocino,45,6,Parts per million,65,Ozone,0.034553,Moderate
1979,California,Merced,47,6,Parts per million,71,Ozone,0.048937,Moderate
1979,California,Monterey,53,6,Parts per million,51,CO,1.172275,Moderate
1979,California,Monterey,53,6,Parts per billion,51,NO2,26.171682,Moderate
1979,California,Monterey,53,6,Parts per million,66,Ozone,0.0358765,Moderate
1979,California,Napa,55,6,Parts per million,51,CO,2.137671,Moderate
1979,California,Napa,55,6,Parts per billion,51,NO2,43.019943,Moderate
1979,California,Napa,55,6,Parts per million,61,Ozone,0.025153,Moderate
1979,California,Orange,59,6,Parts per million,51,CO,2.4690423333333333,Moderate
1979,California,Orange,59,6,Parts per billion,96,NO2,95.523736,Moderate
1979,California,Orange,59,6,Parts per million,78,Ozone,0.0675436,Moderate
1979,California,Orange,59,6,Parts per billion,51,SO2,6.593447666666667,Moderate
1979,California,Placer,61,6,Parts per million,78,Ozone,0.066709,Moderate
1979,California,Riverside,65,6,Parts per million,51,CO,1.8644903333333336,Moderate
1979,California,Riverside,65,6,Parts per billion,55,NO2,56.934866,Moderate
1979,California,Riverside,65,6,Parts per million,85,Ozone,0.0857788,Moderate
1979,California,Riverside,65,6,Parts per billion,51,SO2,5.5040005,Moderate
1979,California,Sacramento,67,6,Parts per million,51,CO,0.963531,Moderate
1979,California,Sacramento,67,6,Parts per billion,53,NO2,55.157895,Moderate
1979,California,Sacramento,67,6,Parts per million,70,Ozone,0.048371,Moderate
1979,California,Sacramento,67,6,Parts per billion,51,SO2,4.066116,Moderate
1979,California,San Bernardino,71,6,Parts per million,51,CO,2.97889025,Moderate
1979,California,San Bernardino,71,6,Parts per billion,58,NO2,59.7614358,Moderate
1979,California,San Bernardino,71,6,Parts per million,83,Ozone,0.07996288888888889,Moderate
1979,California,San Bernardino,71,6,Parts per billion,51,SO2,9.0371785,Moderate
1979,California,San Diego,73,6,Parts per million,51,CO,1.5809164166666667,Moderate
1979,California,San Diego,73,6,Parts per billion,70,NO2,70.6565915,Moderate
1979,California,San Diego,73,6,Parts per million,75,Ozone,0.0596845,Moderate
