year,state,county,county_code,state_code,AQI,pollutant,arithmetic_mean
1971,California,Alameda,1,6,78,CO,2.7133125000000002
1971,California,Alameda,1,6,78,NO2,69.10849999999999
1971,California,Alameda,1,6,78,SO2,3.2833375
1971,California,Butte,7,6,43,CO,1.77215
1971,California,Butte,7,6,43,NO2,40.508025
1971,California,Contra Costa,13,6,43,CO,2.2517625
1971,California,Contra Costa,13,6,43,NO2,39.3222375
1971,California,Contra Costa,13,6,43,SO2,6.5348500000000005
1971,California,Fresno,19,6,3,SO2,1.52625
1971,California,Kern,29,6,76,CO,2.5305
1971,California,Kern,29,6,76,NO2,67.87356666666668
1971,California,Los Angeles,37,6,122,CO,5.064275
1971,California,Los Angeles,37,6,122,NO2,139.9458625
1971,California,Los Angeles,37,6,122,SO2,12.762928846153846
1971,California,Marin,41,6,41,CO,2.82145
1971,California,Marin,41,6,41,NO2,39.74235
1971,California,Monterey,53,6,51,NO2,42.90595
1971,California,Napa,55,6,35,CO,2.263175
1971,California,Orange,59,6,106,CO,4.161633333333333
1971,California,Orange,59,6,106,NO2,84.919575
1971,California,Orange,59,6,106,SO2,5.324015
1971,California,Riverside,65,6,103,CO,6.812175
1971,California,Riverside,65,6,103,NO2,70.34574285714285
1971,California,Riverside,65,6,103,SO2,3.6725999999999996
1971,California,Sacramento,67,6,57,CO,2.41325
1971,California,Sacramento,67,6,57,NO2,45.27885
1971,California,Sacramento,67,6,57,SO2,1.86
1971,California,San Bernardino,71,6,104,CO,4.995525
1971,California,San Bernardino,71,6,104,NO2,86.352475
1971,California,San Bernardino,71,6,104,SO2,5.167285714285715
1971,California,San Diego,73,6,103,NO2,84.041875
1971,California,San Diego,73,6,103,SO2,2.6729
1971,California,San Francisco,75,6,5,SO2,2.6774999999999998
1971,California,San Joaquin,77,6,47,CO,1.5563500000000001
1971,California,San Joaquin,77,6,47,NO2,39.648525
1971,California,San Mateo,81,6,65,CO,2.9433
1971,California,San Mateo,81,6,65,NO2,50.787075
1971,California,Santa Clara,85,6,6,SO2,1.641075
1971,California,Santa Cruz,87,6,31,NO2,26.541825
1971,California,Sonoma,97,6,32,CO,1.71735
1971,California,Sonoma,97,6,32,NO2,32.13995
1971,California,Tulare,107,6,63,CO,3.2935250000000003
1971,California,Tulare,107,6,63,NO2,49.03915
1971,California,Ventura,111,6,61,CO,4.398933333333334
1971,California,Ventura,111,6,61,NO2,55.05115
1972,California,Alameda,1,6,71,CO,2.371941666666667
1972,California,Alameda,1,6,71,NO2,58.7351
1972,California,Alameda,1,6,71,SO2,2.0848875000000002
1972,California,Butte,7,6,45,CO,1.594125
1972,California,Butte,7,6,45,NO2,41.303799999999995
1972,California,Contra Costa,13,6,42,CO,2.19242
1972,California,Contra Costa,13,6,42,NO2,31.60012
1972,California,Contra Costa,13,6,42,SO2,6.19496
1972,California,Fresno,19,6,55,CO,1.4789166666666667
1972,California,Fresno,19,6,55,NO2,50.0195
1972,California,Fresno,19,6,55,SO2,1.55335
1972,California,Humboldt,23,6,37,NO2,28.9725
1972,California,Humboldt,23,6,37,SO2,0.4667
1972,California,Kern,29,6,80,CO,2.346625
1972,California,Kern,29,6,80,NO2,68.34075
1972,California,Los Angeles,37,6,116,CO,4.169505555555555
1972,California,Los Angeles,37,6,116,NO2,111.11214857142858
1972,California,Los Angeles,37,6,116,SO2,12.870657627118645
1972,California,Marin,41,6,50,CO,3.0809
1972,California,Marin,41,6,50,NO2,41.109725
1972,California,Monterey,53,6,50,CO,1.460825
1972,California,Monterey,53,6,50,NO2,35.7625125
1972,California,Napa,55,6,23,CO,1.4788666666666668
1972,California,Orange,59,6,109,CO,4.586392307692307
1972,California,Orange,59,6,109,NO2,93.73591538461538
1972,California,Orange,59,6,109,SO2,7.286411111111111
1972,California,Riverside,65,6,78,CO,4.2722
1972,California,Riverside,65,6,78,NO2,40.311454545454545
