year,state,county,county_code,state_code,units_of_measure,Air.Quality.Index,AQI,pollutant,arithmetic_mean
1979,California,Alameda,1,6,Parts per million,Good,51,CO,1.547938
1979,California,Alameda,1,6,Parts per billion,Good,51,NO2,48.882521
1979,California,Alameda,1,6,Parts per million,Good,65,Ozone,0.0329578
1979,California,Butte,7,6,Parts per million,Good,51,CO,0.6717960000000001
1979,California,Butte,7,6,Parts per billion,Good,51,NO2,39.058172
1979,California,Butte,7,6,Parts per million,Good,70,Ozone,0.04677399999999999
1979,California,Contra Costa,13,6,Parts per million,Good,51,CO,2.003473
1979,California,Contra Costa,13,6,Parts per billion,Good,51,NO2,43.72274766666667
1979,California,Contra Costa,13,6,Parts per million,Good,68,Ozone,0.040517
1979,California,Contra Costa,13,6,Parts per billion,Good,51,SO2,1.32225775
1979,California,El Dorado,17,6,Parts per million,Good,51,CO,1.034621
1979,California,El Dorado,17,6,Parts per billion,Good,51,NO2,46.634921
1979,California,El Dorado,17,6,Parts per million,Good,68,Ozone,0.041254
1979,California,El Dorado,17,6,Parts per billion,Good,51,SO2,2.656151
1979,California,Fresno,19,6,Parts per million,Moderate,51,CO,0.9905508
1979,California,Fresno,19,6,Parts per billion,Moderate,54,NO2,55.9845145
1979,California,Fresno,19,6,Parts per million,Moderate,78,Ozone,0.0666795
1979,California,Fresno,19,6,Parts per billion,Moderate,51,SO2,3.253482
1979,California,Glenn,21,6,Parts per million,Good,67,Ozone,0.039266
1979,California,Kern,29,6,Parts per million,Moderate,51,CO,1.27309
1979,California,Kern,29,6,Parts per billion,Moderate,81,NO2,81.914286
1979,California,Kern,29,6,Parts per million,Moderate,80,Ozone,0.0733465
1979,California,Kern,29,6,Parts per billion,Moderate,51,SO2,9.175439
1979,California,Los Angeles,37,6,Parts per million,Unhealthy for Sensitive Groups,51,CO,3.0466067333333333
1979,California,Los Angeles,37,6,Parts per billion,Unhealthy for Sensitive Groups,103,NO2,107.6009730909091
1979,California,Los Angeles,37,6,Parts per million,Unhealthy for Sensitive Groups,90,Ozone,0.0984110625
1979,California,Los Angeles,37,6,Parts per billion,Unhealthy for Sensitive Groups,51,SO2,8.9348065
1979,California,Madera,39,6,Parts per million,Good,79,Ozone,0.06929
1979,California,Marin,41,6,Parts per million,Good,51,CO,1.856578
1979,California,Marin,41,6,Parts per billion,Good,51,NO2,42.727273
1979,California,Marin,41,6,Parts per million,Good,66,Ozone,0.036144
1979,California,Mendocino,45,6,Parts per million,Good,65,Ozone,0.034553
1979,California,Merced,47,6,Parts per million,Good,71,Ozone,0.048937
1979,California,Monterey,53,6,Parts per million,Good,51,CO,1.172275
1979,California,Monterey,53,6,Parts per billion,Good,51,NO2,26.171682
1979,California,Monterey,53,6,Parts per million,Good,66,Ozone,0.0358765
1979,California,Napa,55,6,Parts per million,Good,51,CO,2.137671
1979,California,Napa,55,6,Parts per billion,Good,51,NO2,43.019943
1979,California,Napa,55,6,Parts per million,Good,61,Ozone,0.025153
1979,California,Orange,59,6,Parts per million,Moderate,51,CO,2.4690423333333333
1979,California,Orange,59,6,Parts per billion,Moderate,96,NO2,95.523736
1979,California,Orange,59,6,Parts per million,Moderate,78,Ozone,0.0675436
1979,California,Orange,59,6,Parts per billion,Moderate,51,SO2,6.593447666666667
1979,California,Placer,61,6,Parts per million,Good,78,Ozone,0.066709
1979,California,Riverside,65,6,Parts per million,Moderate,51,CO,1.8644903333333336
1979,California,Riverside,65,6,Parts per billion,Moderate,55,NO2,56.934866
1979,California,Riverside,65,6,Parts per million,Moderate,85,Ozone,0.0857788
1979,California,Riverside,65,6,Parts per billion,Moderate,51,SO2,5.5040005
1979,California,Sacramento,67,6,Parts per million,Moderate,51,CO,0.963531
1979,California,Sacramento,67,6,Parts per billion,Moderate,53,NO2,55.157895
1979,California,Sacramento,67,6,Parts per million,Moderate,70,Ozone,0.048371
1979,California,Sacramento,67,6,Parts per billion,Moderate,51,SO2,4.066116
1979,California,San Bernardino,71,6,Parts per million,Unhealthy for Sensitive Groups,51,CO,2.97889025
1979,California,San Bernardino,71,6,Parts per billion,Unhealthy for Sensitive Groups,58,NO2,59.7614358
1979,California,San Bernardino,71,6,Parts per million,Unhealthy for Sensitive Groups,83,Ozone,0.07996288888888889
1979,California,San Bernardino,71,6,Parts per billion,Unhealthy for Sensitive Groups,51,SO2,9.0371785
1979,California,San Diego,73,6,Parts per million,Moderate,51,CO,1.5809164166666667
1979,California,San Diego,73,6,Parts per billion,Moderate,70,NO2,70.6565915
1979,California,San Diego,73,6,Parts per million,Moderate,75,Ozone,0.0596845
1979,California,San Diego,73,6,Parts per billion,Moderate,51,SO2,4.2201496
1979,California,San Francisco,75,6,Parts per million,Good,51,CO,2.045863
1979,California,San Francisco,75,6,Parts per billion,Good,51,NO2,44.796512
1979,California,San Francisco,75,6,Parts per billion,Good,51,SO2,2.185714
1979,California,San Joaquin,77,6,Parts per million,Moderate,51,CO,0.4991355
1979,California,San Joaquin,77,6,Parts per billion,Moderate,51,NO2,45.3211215
1979,California,San Joaquin,77,6,Parts per million,Moderate,76,Ozone,0.06250925
1979,California,San Joaquin,77,6,Parts per billion,Moderate,51,SO2,0.699123
1979,California,San Luis Obispo,79,6,Parts per million,Good,51,CO,0.670379
1979,California,San Luis Obispo,79,6,Parts per billion,Good,51,NO2,30.925325
1979,California,San Luis Obispo,79,6,Parts per million,Good,68,Ozone,0.04197025
1979,California,San Luis Obispo,79,6,Parts per billion,Good,51,SO2,0.7824819999999999
1979,California,San Mateo,81,6,Parts per million,Good,51,CO,2.751593
1979,California,San Mateo,81,6,Parts per billion,Good,51,NO2,51.788856
1979,California,San Mateo,81,6,Parts per million,Good,64,Ozone,0.031763
1979,California,Santa Barbara,83,6,Parts per million,Moderate,51,CO,1.654112
1979,California,Santa Barbara,83,6,Parts per billion,Moderate,55,NO2,57.059566
1979,California,Santa Barbara,83,6,Parts per million,Moderate,70,Ozone,0.0476768
1979,California,Santa Barbara,83,6,Parts per billion,Moderate,51,SO2,2.625346
1979,California,Santa Clara,85,6,Parts per million,Moderate,51,CO,2.3524275
1979,California,Santa Clara,85,6,Parts per billion,Moderate,69,NO2,69.971751
1979,California,Santa Clara,85,6,Parts per million,Moderate,68,Ozone,0.043181
1979,California,Santa Cruz,87,6,Parts per billion,Good,51,NO2,27.881356
1979,California,Santa Cruz,87,6,Parts per million,Good,70,Ozone,0.046471
1979,California,Shasta,89,6,Parts per million,Good,71,Ozone,0.049107
1979,California,Solano,95,6,Parts per million,Good,51,CO,0.708935
1979,California,Solano,95,6,Parts per billion,Good,51,NO2,36.7281725
1979,California,Solano,95,6,Parts per million,Good,67,Ozone,0.038468
1979,California,Solano,95,6,Parts per billion,Good,51,SO2,0.188884
1979,California,Sonoma,97,6,Parts per million,Good,51,CO,1.986721
1979,California,Sonoma,97,6,Parts per billion,Good,51,NO2,33.892045
1979,California,Sonoma,97,6,Parts per million,Good,65,Ozone,0.0352095
1979,California,Stanislaus,99,6,Parts per million,Moderate,51,CO,1.189086
1979,California,Stanislaus,99,6,Parts per billion,Moderate,63,NO2,64.888889
1979,California,Stanislaus,99,6,Parts per million,Moderate,75,Ozone,0.059638
1979,California,Stanislaus,99,6,Parts per billion,Moderate,51,SO2,3.396399
1979,California,Sutter,101,6,Parts per million,Good,60,Ozone,0.022
1979,California,Tulare,107,6,Parts per million,Moderate,51,CO,1.28253
1979,California,Tulare,107,6,Parts per billion,Moderate,70,NO2,70.675676
1979,California,Tulare,107,6,Parts per million,Moderate,84,Ozone,0.081844
1979,California,Ventura,111,6,Parts per million,Moderate,51,CO,0.916822
1979,California,Ventura,111,6,Parts per billion,Moderate,61,NO2,62.508711
1979,California,Ventura,111,6,Parts per million,Moderate,77,Ozone,0.06431428571428571
1979,California,Ventura,111,6,Parts per billion,Moderate,51,SO2,3.05838
1979,California,Yolo,113,6,Parts per million,Good,51,CO,0.73068
1979,California,Yolo,113,6,Parts per million,Good,74,Ozone,0.0556185
1980,California,Alameda,1,6,Parts per million,Moderate,51,CO,1.50648675
1980,California,Alameda,1,6,Parts per billion,Moderate,51,NO2,48.5673185
1980,California,Alameda,1,6,Parts per million,Moderate,65,Ozone,0.0338865
1980,California,Butte,7,6,Parts per million,Good,51,CO,0.5565625000000001
1980,California,Butte,7,6,Parts per billion,Good,51,NO2,32.264151
1980,California,Butte,7,6,Parts per million,Good,67,Ozone,0.039483
1980,California,Colusa,11,6,Parts per million,Good,62,Ozone,0.026774
1980,California,Contra Costa,13,6,Parts per million,Moderate,51,CO,1.092843
1980,California,Contra Costa,13,6,Parts per billion,Moderate,51,NO2,40.1764702
1980,California,Contra Costa,13,6,Parts per million,Moderate,66,Ozone,0.03728725
1980,California,Contra Costa,13,6,Parts per billion,Moderate,51,SO2,1.8737139166666668
1980,California,El Dorado,17,6,Parts per million,Moderate,51,CO,2.172797666666667
1980,California,El Dorado,17,6,Parts per billion,Moderate,51,NO2,33.94958
1980,California,El Dorado,17,6,Parts per million,Moderate,71,Ozone,0.049918
1980,California,El Dorado,17,6,Parts per billion,Moderate,51,SO2,0.362557
1980,California,Fresno,19,6,Parts per million,Moderate,51,CO,0.9211608333333332
1980,California,Fresno,19,6,Parts per billion,Moderate,51,NO2,41.546473
1980,California,Fresno,19,6,Parts per million,Moderate,76,Ozone,0.06080214285714286
1980,California,Fresno,19,6,Parts per billion,Moderate,51,SO2,2.684463
1980,California,Glenn,21,6,Parts per million,Good,71,Ozone,0.049749
1980,California,Imperial,25,6,Parts per million,Good,78,Ozone,0.067109
1980,California,Inyo,27,6,Parts per million,Good,70,Ozone,0.046857
1980,California,Kern,29,6,Parts per million,Moderate,51,CO,1.422835
1980,California,Kern,29,6,Parts per billion,Moderate,63,NO2,65.156947
1980,California,Kern,29,6,Parts per million,Moderate,77,Ozone,0.06463
1980,California,Kern,29,6,Parts per billion,Moderate,51,SO2,16.232737333333333
1980,California,Kings,31,6,Parts per million,Good,70,Ozone,0.04688
1980,California,Lake,33,6,Parts per million,Good,51,CO,0.664689
1980,California,Lake,33,6,Parts per billion,Good,51,NO2,17.978723
1980,California,Lake,33,6,Parts per million,Good,69,Ozone,0.0437605
1980,California,Los Angeles,37,6,Parts per million,Unhealthy for Sensitive Groups,51,CO,2.9449217222222224
1980,California,Los Angeles,37,6,Parts per billion,Unhealthy for Sensitive Groups,91,NO2,91.23606188235294
1980,California,Los Angeles,37,6,Parts per million,Unhealthy for Sensitive Groups,85,Ozone,0.08551017647058824
1980,California,Los Angeles,37,6,Parts per billion,Unhealthy for Sensitive Groups,51,SO2,7.437599923076923
1980,California,Marin,41,6,Parts per million,Good,51,CO,1.375044
1980,California,Marin,41,6,Parts per billion,Good,51,NO2,41.694444
1980,California,Marin,41,6,Parts per million,Good,64,Ozone,0.030784
1980,California,Mendocino,45,6,Parts per million,Good,65,Ozone,0.0325115
1980,California,Mono,51,6,Parts per million,Good,51,CO,1.64521
1980,California,Monterey,53,6,Parts per million,Good,51,CO,1.143687
1980,California,Monterey,53,6,Parts per billion,Good,51,NO2,28.284709
1980,California,Monterey,53,6,Parts per million,Good,68,Ozone,0.04096733333333333
1980,California,Monterey,53,6,Parts per billion,Good,51,SO2,0.079348
1980,California,Napa,55,6,Parts per million,Good,51,CO,1.425172
1980,California,Napa,55,6,Parts per billion,Good,51,NO2,38.554913
1980,California,Napa,55,6,Parts per million,Good,66,Ozone,0.037358
1980,California,Orange,59,6,Parts per million,Moderate,51,CO,2.92720125
1980,California,Orange,59,6,Parts per billion,Moderate,73,NO2,74.2261755
1980,California,Orange,59,6,Parts per million,Moderate,77,Ozone,0.06481528571428571
1980,California,Orange,59,6,Parts per billion,Moderate,51,SO2,7.0763388
1980,California,Placer,61,6,Parts per million,Good,75,Ozone,0.059671
1980,California,Riverside,65,6,Parts per million,Moderate,51,CO,1.8734656666666667
